TIMESTAMP,MD,ROP,WOB,RPM,TORQUE,FLOW,SPP,MW
2023-01-01 08:00:00,1000.0,25.6,12.3,120,4.5,900,3200,10.5
2023-01-01 08:01:00,1000.5,26.1,12.1,120,4.6,900,3205,10.5
2023-01-01 08:02:00,1001.0,27.3,12.5,120,4.7,900,3210,10.5
2023-01-01 08:03:00,1001.5,28.2,12.8,120,4.8,900,3215,10.5
2023-01-01 08:04:00,1002.0,29.5,13.2,120,4.9,900,3220,10.5
2023-01-01 08:05:00,1002.5,30.1,13.5,120,5.0,900,3225,10.5
2023-01-01 08:06:00,1003.0,31.2,13.8,120,5.1,900,3230,10.5
2023-01-01 08:07:00,1003.5,32.5,14.2,120,5.2,900,3235,10.5
2023-01-01 08:08:00,1004.0,33.1,14.5,120,5.3,900,3240,10.5
2023-01-01 08:09:00,1004.5,34.2,14.8,120,5.4,900,3245,10.5
2023-01-01 08:10:00,1005.0,35.6,15.2,120,5.5,900,3250,10.5
2023-01-01 08:11:00,1005.5,36.1,15.5,120,5.6,900,3255,10.5
2023-01-01 08:12:00,1006.0,37.3,15.8,120,5.7,900,3260,10.5
2023-01-01 08:13:00,1006.5,38.2,16.2,120,5.8,900,3265,10.5
2023-01-01 08:14:00,1007.0,39.5,16.5,120,5.9,900,3270,10.5
2023-01-01 08:15:00,1007.5,40.1,16.8,120,6.0,900,3275,10.5
2023-01-01 08:16:00,1008.0,41.2,17.2,120,6.1,900,3280,10.5
2023-01-01 08:17:00,1008.5,42.5,17.5,120,6.2,900,3285,10.5
2023-01-01 08:18:00,1009.0,43.1,17.8,120,6.3,900,3290,10.5
2023-01-01 08:19:00,1009.5,44.2,18.2,120,6.4,900,3295,10.5
2023-01-01 08:20:00,1010.0,45.6,18.5,120,6.5,900,3300,10.5
2023-01-01 08:21:00,1010.5,46.1,18.8,120,6.6,900,3305,10.5
2023-01-01 08:22:00,1011.0,47.3,19.2,120,6.7,900,3310,10.5
2023-01-01 08:23:00,1011.5,48.2,19.5,120,6.8,900,3315,10.5
2023-01-01 08:24:00,1012.0,49.5,19.8,120,6.9,900,3320,10.5
2023-01-01 08:25:00,1012.5,50.1,20.2,120,7.0,900,3325,10.5
2023-01-01 08:26:00,1013.0,20.5,20.5,120,7.1,900,3330,10.5
2023-01-01 08:27:00,1013.5,21.2,20.8,120,7.2,900,3335,10.5
2023-01-01 08:28:00,1014.0,22.6,21.2,120,7.3,900,3340,10.5
2023-01-01 08:29:00,1014.5,23.1,21.5,120,7.4,900,3345,10.5
2023-01-01 08:30:00,1015.0,24.3,21.8,120,7.5,900,3350,10.5
2023-01-01 08:31:00,1015.5,25.2,22.2,120,7.6,900,3355,10.5
2023-01-01 08:32:00,1016.0,26.5,22.5,120,7.7,900,3360,10.5
2023-01-01 08:33:00,1016.5,27.1,22.8,120,7.8,900,3365,10.5
2023-01-01 08:34:00,1017.0,28.2,23.2,120,7.9,900,3370,10.5
2023-01-01 08:35:00,1017.5,29.5,23.5,120,8.0,900,3375,10.5
2023-01-01 08:36:00,1018.0,30.1,23.8,120,8.1,900,3380,10.5
2023-01-01 08:37:00,1018.5,31.2,24.2,120,8.2,900,3385,10.5
2023-01-01 08:38:00,1019.0,32.6,24.5,120,8.3,900,3390,10.5
2023-01-01 08:39:00,1019.5,33.1,24.8,120,8.4,900,3395,10.5
2023-01-01 08:40:00,1020.0,34.3,25.2,120,8.5,900,3400,10.5
2023-01-01 08:41:00,1020.5,35.2,25.5,120,8.6,900,3405,10.5
2023-01-01 08:42:00,1021.0,36.5,25.8,120,8.7,900,3410,10.5
2023-01-01 08:43:00,1021.5,37.1,26.2,120,8.8,900,3415,10.5
2023-01-01 08:44:00,1022.0,38.2,26.5,120,8.9,900,3420,10.5
2023-01-01 08:45:00,1022.5,39.5,26.8,120,9.0,900,3425,10.5
2023-01-01 08:46:00,1023.0,40.1,27.2,120,9.1,900,3430,10.5
2023-01-01 08:47:00,1023.5,41.2,27.5,120,9.2,900,3435,10.5
2023-01-01 08:48:00,1024.0,42.6,27.8,120,9.3,900,3440,10.5
2023-01-01 08:49:00,1024.5,43.1,28.2,120,9.4,900,3445,10.5
2023-01-01 08:50:00,1025.0,44.3,28.5,120,9.5,900,3450,10.5
